dish_name,restaurant,price,cuisine,description,food_type,latitude,longitude,rating
Tres Leches Cake,Mi Cocina - Highland Park,10.64,Mexican,Soaked sponge cake,dessert,32.8357735,-96.8060517,4.24
Beef Fajitas,Mi Cocina - Highland Park,41.62,Mexican,"Grilled skirt steak, peppers, onions",entree,32.8357735,-96.8060517,4.53
Chicken Enchiladas Verdes,Mi Cocina - Highland Park,38.24,Mexican,"Tomatillo sauce, queso fresco",entree,32.8357735,-96.8060517,3.5
Chicken Tortilla Soup,Mi Cocina - Highland Park,11.07,Mexican,"Tomato-chile broth, tortilla strips",soup,32.8357735,-96.8060517,4.63
Queso & Chips,Mi Cocina - Highland Park,9.04,Mexican,"Melted cheese dip, tortilla chips",appetizer,32.8357735,-96.8060517,4.3
Horchata,El Fenix Downtown,5.68,Mexican,Cinnamon rice drink,beverage,32.787446,-96.8048645,4.95
Queso & Chips,El Fenix Downtown,11.61,Mexican,"Melted cheese dip, tortilla chips",appetizer,32.787446,-96.8048645,4.42
Beef Fajitas,El Fenix Downtown,33.77,Mexican,"Grilled skirt steak, peppers, onions",entree,32.787446,-96.8048645,4.11
Chicken Tortilla Soup,El Fenix Downtown,5.5,Mexican,"Tomato-chile broth, tortilla strips",soup,32.787446,-96.8048645,4.36
Tres Leches Cake,El Fenix Downtown,9.81,Mexican,Soaked sponge cake,dessert,32.787446,-96.8048645,4.41
Chicken Enchiladas Verdes,El Fenix Downtown,29.89,Mexican,"Tomatillo sauce, queso fresco",entree,32.787446,-96.8048645,4.18
Beef Fajitas,Javier's Gourmet Mexicano,41.73,Mexican,"Grilled skirt steak, peppers, onions",entree,32.8280791,-96.78602149999999,4.03
Chicken Tortilla Soup,Javier's Gourmet Mexicano,9.48,Mexican,"Tomato-chile broth, tortilla strips",soup,32.8280791,-96.78602149999999,3.66
Tres Leches Cake,Javier's Gourmet Mexicano,9.34,Mexican,Soaked sponge cake,dessert,32.8280791,-96.78602149999999,4.46
Horchata,Javier's Gourmet Mexicano,5.74,Mexican,Cinnamon rice drink,beverage,32.8280791,-96.78602149999999,4.56
Beef Fajitas,E Bar Tex Mex,26.43,Mexican,"Grilled skirt steak, peppers, onions",entree,32.8014142,-96.7857485,3.97
Chicken Enchiladas Verdes,E Bar Tex Mex,17.72,Mexican,"Tomatillo sauce, queso fresco",entree,32.8014142,-96.7857485,3.63
Queso & Chips,E Bar Tex Mex,13.31,Mexican,"Melted cheese dip, tortilla chips",appetizer,32.8014142,-96.7857485,3.56
Beef Fajitas,Meso Maya,19.71,Mexican,"Grilled skirt steak, peppers, onions",entree,32.787751,-96.8047241,4.84
Chicken Tortilla Soup,Meso Maya,5.98,Mexican,"Tomato-chile broth, tortilla strips",soup,32.787751,-96.8047241,4.94
Tres Leches Cake,Meso Maya,10.47,Mexican,Soaked sponge cake,dessert,32.787751,-96.8047241,3.75
Queso & Chips,Meso Maya,10.31,Mexican,"Melted cheese dip, tortilla chips",appetizer,32.787751,-96.8047241,3.7
Horchata,Meso Maya,5.99,Mexican,Cinnamon rice drink,beverage,32.787751,-96.8047241,3.73
Tamal de Pollo,Gloria's Latin Cuisine - Bishop Arts,21.7,Salvadoran & Tex‑Mex,"Steamed corn masa, chicken",entree,32.7497011,-96.8275667,3.77
Yuca Frita,Gloria's Latin Cuisine - Bishop Arts,9.99,Salvadoran & Tex‑Mex,Fried cassava,side,32.7497011,-96.8275667,4.57
Pupusa Revuelta,Gloria's Latin Cuisine - Bishop Arts,29.25,Salvadoran & Tex‑Mex,"Pork, cheese & beans",entree,32.7497011,-96.8275667,3.89
Spicy Tikka Chicken Taco,Velvet Taco - Henderson,5.51,Tacos,"Chicken, tikka sauce, crema",taco,32.783816,-96.78676379999999,4.35
Churros,Velvet Taco - Henderson,10.75,Tacos,Cinnamon-sugar dough sticks,dessert,32.783816,-96.78676379999999,4.65
Elote Corn,Velvet Taco - Henderson,6.53,Tacos,Street corn with cotija,side,32.783816,-96.78676379999999,4.41
Elote Corn,La Ventana - Downtown,9.98,Tacos,Street corn with cotija,side,32.7778412,-96.78977069999999,3.75
Churros,La Ventana - Downtown,9.17,Tacos,Cinnamon-sugar dough sticks,dessert,32.7778412,-96.78977069999999,4.01
Baja Fish Taco,La Ventana - Downtown,6.88,Tacos,"Fried fish, cabbage, crema",taco,32.7778412,-96.78977069999999,4.77
Baja Fish Taco,Tacodeli - Dallas,4.95,Tacos,"Fried fish, cabbage, crema",taco,32.7693063,-96.8355318,4.2
Spicy Tikka Chicken Taco,Tacodeli - Dallas,4.42,Tacos,"Chicken, tikka sauce, crema",taco,32.7693063,-96.8355318,4.46
Buffalo Chicken Taco,Tacodeli - Dallas,4.03,Tacos,"Buffalo sauce, ranch slaw",taco,32.7693063,-96.8355318,4.8
Churros,Tacodeli - Dallas,7.68,Tacos,Cinnamon-sugar dough sticks,dessert,32.7693063,-96.8355318,4.39
Elote Corn,Tacodeli - Dallas,7.58,Tacos,Street corn with cotija,side,32.7693063,-96.8355318,4.06
Churros,Torchy's Tacos - Dallas,7.45,Tacos,Cinnamon-sugar dough sticks,dessert,32.9100751,-96.805914,4.49
Spicy Tikka Chicken Taco,Torchy's Tacos - Dallas,4.63,Tacos,"Chicken, tikka sauce, crema",taco,32.9100751,-96.805914,4.61
Baja Fish Taco,Torchy's Tacos - Dallas,5.22,Tacos,"Fried fish, cabbage, crema",taco,32.9100751,-96.805914,4.1
Elote Corn,Torchy's Tacos - Dallas,5.44,Tacos,Street corn with cotija,side,32.9100751,-96.805914,4.98
Buffalo Chicken Taco,Torchy's Tacos - Dallas,4.9,Tacos,"Buffalo sauce, ranch slaw",taco,32.9100751,-96.805914,3.74
Elote Corn,El Come Taco,6.43,Tacos,Street corn with cotija,side,32.8123093,-96.7838025,4.72
Spicy Tikka Chicken Taco,El Come Taco,3.97,Tacos,"Chicken, tikka sauce, crema",taco,32.8123093,-96.7838025,4.4
Churros,El Come Taco,9.98,Tacos,Cinnamon-sugar dough sticks,dessert,32.8123093,-96.7838025,4.67
Buffalo Chicken Taco,El Come Taco,4.48,Tacos,"Buffalo sauce, ranch slaw",taco,32.8123093,-96.7838025,3.62
Baja Fish Taco,El Come Taco,5.21,Tacos,"Fried fish, cabbage, crema",taco,32.8123093,-96.7838025,3.99
Chicken Enchiladas Verdes,Jose,20.67,Mexican,"Tomatillo sauce, queso fresco",entree,32.8514433,-96.8256007,3.62
Beef Fajitas,Jose,16.37,Mexican,"Grilled skirt steak, peppers, onions",entree,32.8514433,-96.8256007,4.6
Queso & Chips,Jose,10.27,Mexican,"Melted cheese dip, tortilla chips",appetizer,32.8514433,-96.8256007,3.67
Horchata,Jose,4.1,Mexican,Cinnamon rice drink,beverage,32.8514433,-96.8256007,4.56
Tres Leches Cake,Jose,11.85,Mexican,Soaked sponge cake,dessert,32.8514433,-96.8256007,4.3
Brisket Plate,Pecan Lodge,18.94,Barbecue,Smoked brisket with pickles & onions,bbq_plate,32.7837281,-96.7838452,3.94
Coleslaw,Pecan Lodge,4.84,Barbecue,Shredded cabbage slaw,side,32.7837281,-96.7838452,4.36
Jalapeño Cheddar Sausage,Pecan Lodge,17.23,Barbecue,House-made link,bbq_plate,32.7837281,-96.7838452,3.51
Banana Pudding,Cattleack Barbeque,6.56,Barbecue,Classic vanilla wafer pudding,dessert,32.9346701,-96.8362592,3.81
Brisket Plate,Cattleack Barbeque,18.79,Barbecue,Smoked brisket with pickles & onions,bbq_plate,32.9346701,-96.8362592,3.66
Sweet Tea,Cattleack Barbeque,5.41,Barbecue,House-brewed sweet tea,beverage,32.9346701,-96.8362592,4.32
Banana Pudding,Terry Black's Barbecue,7.67,Barbecue,Classic vanilla wafer pudding,dessert,32.7848915,-96.7799081,3.78
Pork Rib Plate,Terry Black's Barbecue,26.43,Barbecue,Dry-rub St. Louis ribs,bbq_plate,32.7848915,-96.7799081,4.52
Three-Meat Combo,Terry Black's Barbecue,25.11,Barbecue,Choice of 3 meats,bbq_plate,32.7848915,-96.7799081,3.69
Mac & Cheese,Terry Black's Barbecue,4.96,Barbecue,Creamy cheddar mac,side,32.7848915,-96.7799081,3.56
Coleslaw,Hurtado Barbecue - Dallas,4.56,Barbecue,Shredded cabbage slaw,side,32.7779085,-96.7905198,3.77
Jalapeño Cheddar Sausage,Hurtado Barbecue - Dallas,17.16,Barbecue,House-made link,bbq_plate,32.7779085,-96.7905198,3.83
Pork Rib Plate,Hurtado Barbecue - Dallas,26.17,Barbecue,Dry-rub St. Louis ribs,bbq_plate,32.7779085,-96.7905198,4.9
Sweet Tea,Hurtado Barbecue - Dallas,5.41,Barbecue,House-brewed sweet tea,beverage,32.7779085,-96.7905198,4.47
Banana Pudding,Hurtado Barbecue - Dallas,10.84,Barbecue,Classic vanilla wafer pudding,dessert,32.7779085,-96.7905198,4.91
Brisket Plate,Hurtado Barbecue - Dallas,24.76,Barbecue,Smoked brisket with pickles & onions,bbq_plate,32.7779085,-96.7905198,4.94
Banana Pudding,Slow Bone,7.76,Barbecue,Classic vanilla wafer pudding,dessert,32.796284,-96.83419130000001,3.76
Brisket Plate,Slow Bone,23.54,Barbecue,Smoked brisket with pickles & onions,bbq_plate,32.796284,-96.83419130000001,4.69
Mac & Cheese,Slow Bone,9.31,Barbecue,Creamy cheddar mac,side,32.796284,-96.83419130000001,4.78
Grilled Salmon,Smoky Rose,38.09,Barbecue & American,Lemon herb butter,entree,32.8230587,-96.7143949,4.3
House Salad,Smoky Rose,16.4,Barbecue & American,"Greens, vinaigrette",salad,32.8230587,-96.7143949,4.6
Tomato Basil Soup,Smoky Rose,5.74,Barbecue & American,Comfort soup,soup,32.8230587,-96.7143949,4.18
Coleslaw,Lockhart Smokehouse - Bishop Arts,5.73,Barbecue,Shredded cabbage slaw,side,32.7493058,-96.8285861,3.56
Three-Meat Combo,Lockhart Smokehouse - Bishop Arts,27.34,Barbecue,Choice of 3 meats,bbq_plate,32.7493058,-96.8285861,3.84
Sweet Tea,Lockhart Smokehouse - Bishop Arts,6.25,Barbecue,House-brewed sweet tea,beverage,32.7493058,-96.8285861,3.98
Banana Pudding,Lockhart Smokehouse - Bishop Arts,9.3,Barbecue,Classic vanilla wafer pudding,dessert,32.7493058,-96.8285861,3.74
Matcha Ice Cream,Uchi Dallas,9.9,Japanese,Green tea ice cream,dessert,32.7968652,-96.8065259,4.64
Salmon Nigiri,Uchi Dallas,6.19,Japanese,Fresh salmon over rice,sushi,32.7968652,-96.8065259,4.29
Tonkotsu Ramen,Uchi Dallas,15.62,Japanese,"Pork broth, noodles, egg",noodle,32.7968652,-96.8065259,4.87
Miso Soup,Uchi Dallas,5.85,Japanese,"Dashi, tofu, wakame",soup,32.7968652,-96.8065259,3.59
Hamachi Crudo,Tei‑An,10.43,Japanese,"Yellowtail, yuzu, chili",appetizer,32.792057,-96.79550470000001,4.07
