dish_name,restaurant_brand,price,rating
BBQ Bacon Burger,Hopdoddy Burger Bar,20.53,1.8
BBQ Bacon Burger,Katy Trail Ice House,17.7,3.2
BBQ Bacon Burger,Whataburger,8.44,2.5
Baby Back Ribs (Half Rack),Public School 972,29.09,2.4
Baby Back Ribs (Half Rack),The Porch,18.9,3.0
Baby Back Ribs (Half Rack),The Ranch at Las Colinas,7.6,4.6
Baja Shrimp Taco,Chuy's,15.92,3.2
Baja Shrimp Taco,El Fenix,20.77,3.5
Baja Shrimp Taco,Torchy's Tacos,20.17,3.4
Beef Bulgogi Bowl,Public School 972,17.18,3.6
Beef Bulgogi Bowl,Whistle Britches,8.03,1.8
Beef Fajitas,Chuy's,19.46,3.0
Beef Fajitas,Gloria's Latin Cuisine,6.69,1.2
Beef and Broccoli,The Porch,17.69,2.6
Beef and Broccoli,The Ranch at Las Colinas,12.9,2.6
Bibimbap,Lazy Dog,12.53,2.9
Bibimbap,The Porch,24.57,2.7
Bibimbap,The Ranch at Las Colinas,17.14,3.1
Brisket Plate,Lazy Dog,5.97,1.9
Brisket Plate,Public School 972,16.62,1.5
Brisket Plate,The Ranch at Las Colinas,20.44,3.2
Brisket Tacos,Chuy's,10.26,1.8
Brisket Tacos,Fuel City Tacos,20.6,2.6
Brownie Sundae,Lazy Dog,15.24,1.6
Brownie Sundae,Public School 972,15.78,1.0
Brownie Sundae,The Ranch at Las Colinas,18.24,2.9
Brownie Sundae,Whistle Britches,19.8,3.4
Butter Chicken,Pollo Tropical,26.2,1.5
Butter Chicken,Raising Cane's,8.6,3.9
California Roll,Lazy Dog,25.08,4.4
California Roll,The Porch,22.51,2.8
California Roll,The Ranch at Las Colinas,24.92,1.3
Carnitas Tacos,Fuel City Tacos,16.0,3.2
Carnitas Tacos,Torchy's Tacos,23.28,3.4
Chicken Biryani,Pollo Tropical,9.75,1.3
Chicken Biryani,Raising Cane's,16.21,1.8
Chicken Enchiladas,Chick-fil-A,29.92,3.2
Chicken Enchiladas,Golden Chick,5.61,2.8
Chicken Enchiladas,Pollo Tropical,21.23,2.0
Chicken Enchiladas,Raising Cane's,8.52,3.9
Chicken Fajitas,Gloria's Latin Cuisine,5.48,4.7
Chicken Fajitas,La Ventana,15.89,4.9
Chicken Fried Steak,Chick-fil-A,22.35,1.2
Chicken Fried Steak,Pollo Tropical,24.35,2.8
Chicken Pad Thai,Chick-fil-A,19.62,2.2
Chicken Pad Thai,Golden Chick,25.7,1.6
Chicken Pad Thai,Pollo Tropical,13.33,3.8
Chicken Sandwich,Golden Chick,20.66,1.6
Chicken Sandwich,Raising Cane's,29.18,1.6
Chicken Teriyaki Bento,Babe's Chicken Dinner House,26.87,2.6
Chicken Teriyaki Bento,Golden Chick,23.43,2.4
Chicken Teriyaki Bento,Raising Cane's,14.04,2.9
Chocolate Chip Cookie,Lazy Dog,26.27,1.8
Chocolate Chip Cookie,Public School 972,16.04,4.6
Chocolate Chip Cookie,The Porch,25.14,4.9
Chocolate Chip Cookie,Whistle Britches,11.28,3.9
Churros,Public School 972,27.27,4.2
Churros,The Porch,15.82,2.7
Churros,The Ranch at Las Colinas,19.84,3.7
Churros,Whistle Britches,15.66,1.5
Classic Cheeseburger,Hopdoddy Burger Bar,19.85,3.1
Classic Cheeseburger,Twisted Root Burger Co.,7.95,3.1
Classic Cheeseburger,Whataburger,17.69,2.1
Crème Brûlée,Lazy Dog,25.33,2.9
Crème Brûlée,Public School 972,25.0,2.2
Crème Brûlée,The Ranch at Las Colinas,23.29,2.9
Crème Brûlée,Whistle Britches,20.83,4.6
Fried Pickles,The Ranch at Las Colinas,16.0,1.2
Fried Pickles,Whistle Britches,8.51,3.2
Garlic Naan,Public School 972,16.95,2.8
Garlic Naan,The Porch,22.79,2.0
Garlic Naan,Whistle Britches,9.48,3.4
Grilled Ribeye 12oz,Lazy Dog,16.4,4.5
Grilled Ribeye 12oz,Public School 972,26.83,3.0
Grilled Ribeye 12oz,The Porch,5.95,2.7
Haystack Burger,Katy Trail Ice House,8.73,2.8
Haystack Burger,Twisted Root Burger Co.,9.53,2.7
Ice Cream (2 scoops),Lazy Dog,16.54,1.3
Ice Cream (2 scoops),Public School 972,18.13,2.3
Ice Cream (2 scoops),The Porch,22.42,4.1
Ice Cream (2 scoops),The Ranch at Las Colinas,12.52,4.7
Idli & Sambar,The Porch,8.19,1.4
Idli & Sambar,Whistle Britches,25.22,2.8
Loaded Fries,Lazy Dog,25.61,2.0
Loaded Fries,Public School 972,21.17,3.2
Loaded Fries,The Porch,26.99,3.7
Mac & Cheese Bowl,Lazy Dog,7.93,4.7
Mac & Cheese Bowl,Public School 972,15.24,3.1
Mac & Cheese Bowl,The Porch,22.09,3.0
Mac & Cheese Bowl,The Ranch at Las Colinas,22.05,2.2
Masala Dosa,Lazy Dog,16.77,1.6
Masala Dosa,The Porch,22.53,4.4
Masala Dosa,The Ranch at Las Colinas,29.29,1.4
Mutton Biryani,Public School 972,21.39,4.6
Mutton Biryani,Whistle Britches,15.23,3.1
Nachos Supreme,Public School 972,27.0,3.6
Nachos Supreme,The Ranch at Las Colinas,6.68,4.2
Nachos Supreme,Whistle Britches,26.15,2.2
New York Cheesecake,Lazy Dog,13.81,4.9
New York Cheesecake,The Porch,22.13,2.8
Orange Chicken,Babe's Chicken Dinner House,6.82,2.9
Orange Chicken,Chick-fil-A,17.96,3.2
Orange Chicken,Pollo Tropical,18.16,1.2
Orange Chicken,Raising Cane's,8.67,1.8
Paneer Tikka Masala,Public School 972,26.49,2.5
Paneer Tikka Masala,The Porch,18.21,3.5
Paneer Tikka Masala,Whistle Britches,20.44,3.2
Pulled Pork Sandwich,Jersey Mike’s,9.47,3.9
Pulled Pork Sandwich,Potbelly,20.9,1.4
Pulled Pork Sandwich,Which Wich,17.94,4.1
Queso Fundido,Lazy Dog,9.3,3.8
Queso Fundido,The Porch,11.25,4.3
Queso Fundido,The Ranch at Las Colinas,24.5,3.4
Queso Fundido,Whistle Britches,19.28,3.5
Shrimp Fried Rice,The Porch,13.78,2.0
Shrimp Fried Rice,The Ranch at Las Colinas,18.27,4.3
Smoked Sausage Plate,The Porch,24.52,3.9
Smoked Sausage Plate,Whistle Britches,15.25,2.4
Smoked Turkey Sandwich,Jimmy John’s,18.08,2.7
Smoked Turkey Sandwich,Potbelly,11.6,4.1
Spicy Basil Fried Rice,Lazy Dog,29.06,2.2
Spicy Basil Fried Rice,The Ranch at Las Colinas,9.75,3.4
Spicy Basil Fried Rice,Whistle Britches,24.45,2.4
Spicy Tuna Roll,Lazy Dog,9.31,1.8
Spicy Tuna Roll,Public School 972,23.39,1.3
Spicy Tuna Roll,Whistle Britches,13.36,2.3
Street Corn,Public School 972,16.89,4.4
Street Corn,The Porch,14.84,4.1
Street Corn,Whistle Britches,17.97,3.4
Tandoori Chicken,Babe's Chicken Dinner House,10.36,3.7
Tandoori Chicken,Chick-fil-A,13.04,2.5
Tandoori Chicken,Golden Chick,8.75,3.5
The Western Burger,In-N-Out Burger,18.0,2.2
The Western Burger,Katy Trail Ice House,12.08,1.1
The Western Burger,Whataburger,19.11,4.6
Tiramisu,Lazy Dog,13.98,4.2
Tiramisu,The Porch,13.2,4.5
Tiramisu,Whistle Britches,18.65,3.1
Trailer Park Taco,Chuy's,27.3,2.8
Trailer Park Taco,Torchy's Tacos,12.21,3.4
Trailer Park Taco,Velvet Taco,12.25,2.3
Wings (10pc),Lazy Dog,8.97,1.1
